кому,какво,кого,колко
flow,неригстриран,Анджи,коментари от велин в мейла
flow,брокер,Венци,коментари от велин в мейла
flow,администратор,Георги,needs WORK :)
flow,одитор,Велин,needs comment
flow,регистриран,Бранев,ЖИВ Е ТОЙ ЖИВ Е ТАМ НА БАЛКАНА
sequence,търсене,Цецо,needs comment
sequence,регистриране,Мартин,"да се направи в таблица, на български"
sequence,имот,Танков,очакваме включване от президенството
artifact,обява,Антон,да стане A5 landscape + коментарите от Анджи да се обсъдят
artifact,хартиен,Краси,да стане A5 landscape + коментари от велин в мейла
